dny;plné jízdné;důchodce;Student (15 - 26 let);poloviční jízdné;žákovské jízdné;ZTP;ISIC;Firemní
;100%;75%;75%;50%;37,50%;25%;88%;
1;40;30;30;20;15;10;35;51,1
2;72;54;54;36;27;18;63;94
3;100;75;75;50;37;25;88;129,3
4;126;94;94;63;47;31;111;163,9
5;150;112;112;75;56;37;132;195,5
6;172;129;129;86;64;43;151;222,5
7;190;142;142;95;71;47;167;246,6
8;206;154;154;103;77;51;181;267,6
9;220;165;165;110;82;55;194;285,7
10;230;172;172;115;86;57;202;299,2
11;240;180;180;120;90;60;211;312,7
12;252;189;189;126;94;63;222;326,3
13;258;193;193;129;96;64;227;336
14;266;199;199;133;99;66;234;345,8
15;272;204;204;136;102;68;239;354,1
16;280;210;210;140;105;70;246;363,8
17;286;214;214;143;107;71;252;371,4
18;292;219;219;146;109;73;257;378,9
19;296;222;222;148;111;74;260;384,9
20;302;226;226;151;113;75;266;393,2
21;306;229;229;153;114;76;269;398,4
22;312;234;234;156;117;78;275;404,4
23;316;237;237;158;118;79;278;410,5
24;318;238;238;159;119;79;280;414,2
25;322;241;241;161;120;80;283;418
26;324;243;243;162;121;81;285;422,5
27;330;247;247;165;123;82;290;427,7
28;330;247;247;165;123;82;290;430
29;330;247;247;165;123;82;290;430
30;330;247;247;165;123;82;290;430
31;330;247;247;165;123;82;290;430
32;364;273;273;182;136;91;320;472,8
33;394;295;295;197;147;98;347;511,9
34;420;315;315;210;157;105;370;547,3
35;444;333;333;222;166;111;391;578,8
36;464;348;348;232;174;116;408;603,7
37;486;364;364;243;182;121;428;631,5
38;502;376;376;251;188;125;442;652,5
39;518;388;388;259;194;129;456;674,3
40;536;402;402;268;201;134;472;697,6
41;552;414;414;276;207;138;486;717,2
42;566;424;424;283;212;141;498;736,7
43;580;435;435;290;217;145;510;754,8
44;590;442;442;295;221;147;519;768,3
45;600;450;450;300;225;150;528;781,8
46;606;454;454;303;227;151;533;789,3
47;614;460;460;307;230;153;540;799,1
48;620;465;465;310;232;155;546;807,4
49;624;468;468;312;234;156;549;813,4
50;630;472;472;315;236;157;554;820,9
51;636;477;477;318;238;159;560;826,9
52;642;481;481;321;240;160;565;834,4
53;644;483;483;322;241;161;567;838,2
54;648;486;486;324;243;162;570;842,7
55;654;490;490;327;245;163;576;850,2
56;654;490;490;327;245;163;576;852,5
57;658;493;493;329;246;164;579;856,2
58;660;495;495;330;247;165;581;857,7
59;662;496;496;331;248;165;583;862,3
60;668;501;501;334;250;167;588;869,8
61;674;505;505;337;252;168;593;877,3
62;680;510;510;340;255;170;598;885,6
63;694;520;520;347;260;173;;902,8
64;720;540;540;360;270;180;;938,2
65;744;558;558;372;279;186;;969,8
66;766;574;574;383;287;191;;996,8
67;786;589;589;393;294;196;;1022,4
68;802;601;601;401;300;200;;1043,4
69;816;612;612;408;306;204;;1063
70;828;621;621;414;310;207;;1078,8
71;840;630;630;420;315;210;;1094,5
72;852;639;639;426;319;213;;1110,3
73;864;648;648;432;324;216;;1123,9
74;872;654;654;436;327;218;;1135,9
75;882;661;661;441;330;220;;1147,2
76;886;664;664;443;332;221;;1153,2
77;894;670;670;447;335;223;;1163
78;898;673;673;449;336;224;;1169
79;904;678;678;452;339;226;;1176,5
80;908;681;681;454;340;227;;1182,5
81;916;687;687;458;343;229;;1192,3
82;918;688;688;459;344;229;;1196
83;924;693;693;462;346;231;;1204,3
84;926;694;694;463;347;231;;1205,8
85;928;696;696;464;348;232;;1208,1
86;930;697;697;465;348;232;;1209,6
87;932;699;699;466;349;233;;1214,1
88;942;706;706;471;353;235;;1225,3
89;944;708;708;472;354;236;;1229,1
90;954;715;715;477;357;238;;1243,4
91;962;721;721;481;360;240;;1253,2
92;968;726;726;484;363;242;;1260,7
93;976;732;732;488;366;244;;1270,5
94;1002;751;751;501;375;250;;1305,8
95;1028;771;771;514;385;257;;1338,9
96;1054;790;790;527;395;263;;1371,9
97;1078;808;808;539;404;269;;1403,5
98;1098;823;823;549;411;274;;1430,6
99;1116;837;837;558;418;279;;1452,4
100;1132;849;849;566;424;283;;1473,4
101;1150;862;862;575;431;287;;1497,5
102;1164;873;873;582;436;291;;1517
103;1180;885;885;590;442;295;;1536,6
104;1194;895;895;597;447;298;;1553,9
105;1206;904;904;603;452;301;;1569,7
106;1212;909;909;606;454;303;;1579,4
107;1222;916;916;611;458;305;;1590,7
108;1228;921;921;614;460;307;;1599
109;1234;925;925;617;462;308;;1606,5
110;1240;930;930;620;465;310;;1614,8
111;1242;931;931;621;465;310;;1618,5
112;1248;936;936;624;468;312;;1626
113;1254;940;940;627;470;313;;1632
114;1258;943;943;629;471;314;;1638,1
115;1262;946;946;631;473;315;;1644,1
116;1266;949;949;633;474;316;;1649,3
117;1268;951;951;634;475;317;;1651,6
118;1270;952;952;635;476;317;;1653,8
119;1272;954;954;636;477;318;;1655,3
120;1272;954;954;636;477;318;;1657,6
121;1274;955;955;637;477;318;;1659,1
122;1276;957;957;638;478;319;;1661,4
123;1278;958;958;639;479;319;;1663,6
;;;;;;;;
měsíční;;;247;;123;;;
190;1695;1270;;845;;420;;2215
380;2930;2195;;1465;;730;;3825
10 měsíční;;;2300;;1150;;;
