dny;plné jízdné;důchodce (nad 65 let);poloviční jízdné;ZTP;žákovské jízdné (6 - 15 let);student (15 - 26 let);firemní V
;100%;75%;50%;25,00%;50%;100%;100%
1;276;193;138;56;138;276;276
2;518;364;259;105;259;518;518
3;738;519;369;150;369;738;738
4;924;651;462;189;462;924;924
5;1100;775;550;225;550;1100;1100
6;1244;875;622;254;622;1244;1244
7;1398;984;699;285;699;1398;1398
8;1508;1061;754;308;754;1508;1508
9;1606;1131;803;328;803;1606;1606
10;1684;1185;842;344;842;1684;1684
11;1760;1240;880;360;880;1760;1760
12;1826;1286;913;373;913;1826;1826
13;1892;1333;946;387;946;1892;1892
14;1948;1371;974;398;974;1948;1948
15;2002;1410;1001;409;1001;2002;2002
16;2046;1441;1023;418;1023;2046;2046
17;2090;1472;1045;427;1045;2090;2090
18;2134;1503;1067;436;1067;2134;2134
19;2168;1526;1084;443;1084;2168;2168
20;2200;1550;1100;450;1100;2200;2200
21;2244;1581;1122;459;1122;2244;2244
22;2278;1604;1139;465;1139;2278;2278
23;2300;1619;1150;470;1150;2300;2300
24;2332;1643;1166;477;1166;2332;2332
25;2366;1666;1183;483;1183;2366;2366
26;2388;1681;1194;488;1194;2388;2388
27;2398;1689;1199;490;1199;2398;2398
28;2420;1705;1210;495;1210;2420;2420
29;2420;1705;1210;495;1210;2420;2420
30;2420;1705;1210;495;1210;2420;2420
31;2420;1705;1210;495;1210;2420;2420
32;2674;1883;1337;546;1337;2674;2674
33;2882;2030;1441;589;1441;2882;2882
34;3080;2170;1540;630;1540;3080;3080
35;3246;2286;1623;663;1623;3246;3246
36;3400;2394;1700;695;1700;3400;3400
37;3542;2495;1771;724;1771;3542;3542
38;3664;2580;1832;749;1832;3664;3664
39;3806;2681;1903;778;1903;3806;3806
40;3906;2751;1953;798;1953;3906;3906
41;4026;2836;2013;823;2013;4026;4026
42;4136;2914;2068;846;2068;4136;4136
43;4236;2983;2118;866;2118;4236;4236
44;4324;3045;2162;884;2162;4324;4324
45;4400;3100;2200;900;2200;4400;4400
46;4444;3131;2222;909;2222;4444;4444
47;4488;3162;2244;918;2244;4488;4488
48;4544;3200;2272;929;2272;4544;4544
49;4576;3224;2288;936;2288;4576;4576
50;4610;3247;2305;942;2305;4610;4610
51;4642;3270;2321;949;2321;4642;4642
52;4686;3301;2343;958;2343;4686;4686
53;4720;3324;2360;965;2360;4720;4720
54;4742;3340;2371;969;2371;4742;4742
55;4764;3355;2382;974;2382;4764;4764
56;4796;3379;2398;981;2398;4796;4796
57;4808;3386;2404;983;2404;4808;4808
58;4818;3394;2409;985;2409;4818;4818
59;4830;3402;2415;987;2415;4830;4830
60;4840;3410;2420;990;2420;4840;4840
61;4840;3410;2420;990;2420;4840;4840
62;4840;3410;2420;990;2420;4840;4840
63;4884;3441;2442;999;2442;4884;4884
64;5072;3572;2536;1037;2536;5072;5072
65;5236;3689;2618;1071;2618;5236;5236
66;5402;3805;2701;1104;2701;5402;5402
67;5534;3898;2767;1131;2767;5534;5534
68;5654;3983;2827;1156;2827;5654;5654
